               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.064686,            0.012863,            0.032674,             0.32609,             0.95833,             0.47024,              0.3237,            0.023051,           0.0069103,            0.024912,            0.009307,            0.009307,            0.009307
                  37,            0.038553,            0.014449,            0.029003,             0.27932,             0.92046,             0.47719,             0.21242,             0.03415,           0.0062151,            0.024335,           0.0092872,           0.0092872,           0.0092872
                  38,            0.043932,            0.013529,             0.03147,             0.31963,             0.99814,             0.48568,             0.34305,            0.023575,            0.006506,            0.024014,           0.0092674,           0.0092674,           0.0092674
                  39,            0.029891,            0.011082,            0.023884,             0.32705,             0.62754,             0.44123,             0.13988,            0.036668,           0.0074768,             0.02406,           0.0092476,           0.0092476,           0.0092476
                  40,            0.049488,            0.016209,             0.03288,             0.25337,               0.625,              0.3995,             0.18023,            0.034399,           0.0073299,            0.024005,           0.0092278,           0.0092278,           0.0092278
                  41,            0.048565,            0.013452,            0.032433,             0.32411,             0.69281,             0.47337,             0.29827,            0.025877,           0.0068665,            0.023776,            0.009208,            0.009208,            0.009208
                  42,            0.047897,            0.014266,            0.034571,             0.31908,             0.83333,             0.49758,             0.16413,            0.027965,           0.0071392,            0.023538,           0.0091882,           0.0091882,           0.0091882
                  43,              0.0473,             0.01202,            0.041058,             0.29179,                   1,             0.42261,             0.25815,            0.034335,           0.0057755,            0.023547,           0.0091684,           0.0091684,           0.0091684
                  44,            0.041559,            0.013582,            0.032855,             0.26907,                   1,             0.52556,             0.24572,             0.03869,            0.005908,            0.023346,           0.0091486,           0.0091486,           0.0091486
                  45,              0.0496,            0.014178,              0.0289,             0.32575,                   1,             0.44813,             0.32454,            0.026383,           0.0055418,            0.023474,           0.0091288,           0.0091288,           0.0091288
                  46,            0.047105,            0.013537,            0.036176,             0.21646,                   1,             0.34629,             0.13618,            0.039426,           0.0070038,            0.023309,            0.009109,            0.009109,            0.009109
