               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086276,            0.032509,            0.040854,                   0,                   0,                   0,                   0,                   0,            0.019927,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.075956,            0.033938,            0.040789,                   0,                   0,                   0,                   0,                   0,            0.017616,                   0,            0.091897,          0.00089703,          0.00089703
                   2,            0.078399,            0.036099,            0.046168,                   0,                   0,                   0,                   0,                   0,            0.015415,                   0,            0.087391,           0.0013908,           0.0013908
                   3,             0.06581,            0.034918,            0.046239,                   0,                   0,                   0,                   0,                   0,            0.014732,                   0,            0.082881,           0.0018812,           0.0018812
                   4,            0.064107,             0.03329,            0.042733,                   0,                   0,                   0,                   0,                   0,            0.011581,                   0,            0.078368,           0.0023683,           0.0023683
